ts,size,n,m,p,totaltime
1717078234589,3,50,50,50,416
1717078236209,3,50,50,50,374
1717078237789,3,50,50,50,361
1717078239421,3,50,50,50,408
1717078241013,3,50,50,50,359
1717078242565,3,50,50,50,410
1717078244189,3,50,50,50,361
1717078245745,3,50,50,50,358
1717078247297,3,50,50,50,359
1717078248925,3,50,50,50,317
1717078250461,3,50,50,50,362
1717078252025,3,50,50,50,360
1717078253608,3,50,50,50,362
1717078255185,3,50,50,50,318
1717078256725,3,50,50,50,358
1717078258273,3,50,50,50,401
1717078259877,3,50,50,50,362
1717078261465,3,50,50,50,405
1717078263061,3,50,50,50,395
1717078264701,3,50,50,50,414
1717078266329,3,50,50,50,356
1717078267901,3,50,50,50,358
1717078269521,3,50,50,50,410
1717078271129,3,50,50,50,321
1717078272673,3,50,50,50,449
1717078274401,3,50,50,50,360
1717078275946,3,50,50,50,315
1717078277487,3,50,50,50,363
1717078279145,3,50,50,50,364
1717078280729,3,50,50,50,403
1717078282325,3,50,50,50,359
1717078283897,3,50,50,50,361
1717078285581,3,50,50,50,318
1717078287113,3,50,50,50,317
1717078288693,3,50,50,50,398
1717078290356,3,50,50,50,327
1717078292053,3,50,50,50,410
1717078293697,3,50,50,50,436
1717078295393,3,50,50,50,370
1717078296981,3,50,50,50,361
1717078298537,3,50,50,50,413
1717078300145,3,50,50,50,404
1717078301741,3,50,50,50,409
1717078303357,3,50,50,50,360
1717078304997,3,50,50,50,367
1717078306589,3,50,50,50,362
1717078308141,3,50,50,50,313
1717078309673,3,50,50,50,318
1717078311213,3,50,50,50,360
1717078312773,3,50,50,50,405
1717078314377,3,50,50,50,410
1717078315981,3,50,50,50,324
1717078317527,3,50,50,50,320
1717078319081,3,50,50,50,400
1717078320701,3,50,50,50,415
1717078322317,3,50,50,50,365
1717078323897,3,50,50,50,402
1717078325541,3,50,50,50,361
1717078327173,3,50,50,50,362
1717078328737,3,50,50,50,450
1717078330429,3,50,50,50,357
1717078331997,3,50,50,50,358
1717078333549,3,50,50,50,319
1717078335093,3,50,50,50,406
1717078336701,3,50,50,50,370
1717078338285,3,50,50,50,363
1717078339845,3,50,50,50,358
1717078341465,3,50,50,50,362
1717078343057,3,50,50,50,369
1717078344645,3,50,50,50,364
1717078346277,3,50,50,50,411
1717078347901,3,50,50,50,406
1717078349501,3,50,50,50,321
1717078351145,3,50,50,50,401
1717078352761,3,50,50,50,362
1717078354313,3,50,50,50,405
1717078355973,3,50,50,50,363
1717078675753,4,50,50,50,391
1717078677585,4,50,50,50,422
1717078679457,4,50,50,50,406
1717078681301,4,50,50,50,440
1717078683161,4,50,50,50,396
1717078685025,4,50,50,50,410
1717078686881,4,50,50,50,463
1717078688781,4,50,50,50,389
1717078690637,4,50,50,50,439
1717078692509,4,50,50,50,453
1717078694389,4,50,50,50,482
1717078696329,4,50,50,50,455
1717078698221,4,50,50,50,431
1717078700109,4,50,50,50,421
1717078701953,4,50,50,50,360
1717078703769,4,50,50,50,436
1717078705669,4,50,50,50,392
1717078707493,4,50,50,50,404
1717078709329,4,50,50,50,427
1717078711225,4,50,50,50,433
1717078713077,4,50,50,50,453
1717078714949,4,50,50,50,367
1717078716741,4,50,50,50,392
1717078718565,4,50,50,50,345
1717078720393,4,50,50,50,395
1717078722261,4,50,50,50,395
1717078724093,4,50,50,50,427
1717078725965,4,50,50,50,394
1717078727965,4,50,50,50,436
1717078729829,4,50,50,50,436
1717078731689,4,50,50,50,517
1717078733657,4,50,50,50,402
1717078735505,4,50,50,50,442
1717078737413,4,50,50,50,398
1717078739249,4,50,50,50,449
1717078741121,4,50,50,50,397
1717078742989,4,50,50,50,406
1717078744841,4,50,50,50,368
1717078746681,4,50,50,50,491
1717078748637,4,50,50,50,429
1717078750501,4,50,50,50,384
1717078752369,4,50,50,50,439
1717078754237,4,50,50,50,401
1717078756069,4,50,50,50,396
1717078757901,4,50,50,50,432
1717078759777,4,50,50,50,433
1717078761645,4,50,50,50,401
1717078763541,4,50,50,50,442
1717078765441,4,50,50,50,380
1717078767249,4,50,50,50,555
1717078769257,4,50,50,50,373
1717078771081,4,50,50,50,398
1717078772945,4,50,50,50,361
1717078774753,4,50,50,50,393
1717078776589,4,50,50,50,373
1717078778445,4,50,50,50,358
1717078780285,4,50,50,50,390
1717078782097,4,50,50,50,399
1717078783917,4,50,50,50,350
1717078785705,4,50,50,50,429
